Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
69,Furniture and Fittings,Carpenter Wooden Furniture,Free,07:10 hours,Any,Any,NA,English,"Carpenter Wooden Furniture course gives an overview of client coordination, team supervision, and quality check of the project. Ensure proper material management and preparation of the worksite. It sets out, marks and fabricate the various components of the products at the worksite.",https://www.skillindiadigital.gov.in/courses/detail/7443462f-f779-4ef4-8124-823b51d92fbc,null,null,null,null,null,null,null,null,null,,null
70,Green Jobs,Biomedical Waste Management-Doctors & Administrative Staff,Free,001:48 hours,Above 18,Graduate,NA,English,This training course is designed for Doctors who serves a several important roles within the healthcare system. This specialized training equips doctors with the knowledge and skills necessary to handle and manage medical waste safely and responsibly.,https://www.skillindiadigital.gov.in/courses/detail/ec6186c9-ddc1-4fe3-ad61-110dd73054ec,null,null,null,null,null,null,null,null,null,,null
71,Green Jobs,Bio Medical Waste Management - Auxiliary Staff/Sanitation Staff,Free,001:27 hours,Above 18,No Formal Education required,NA,Hindi,"यह पाठ्यक्रम बायो मेडिकल वेस्ट प्रबंधन, संग्रह और पृथक्करण पर है जो कि स्वास्थ्य देखभाल सुविधाओं के स्वच्छता कर्मचारियों/सहायक कर्मचारियों के लिए डिज़ाइन किया गया है जो बायो मेडिकल वेस्ट प्रबंधन में महत्वपूर्ण भूमिका निभाते हैं।
",https://www.skillindiadigital.gov.in/courses/detail/b783293c-0d2d-4e17-bbeb-3ef0661eaa6e,null,null,null,null,null,null,null,null,null,,null
72,Green Jobs, Manager-Waste Management,Free,11:21 hours,21,Graduate or 12th grade pass,4 years of experience in waste management for 12th grade pass,English,"Manager-Waste Management is responsible for carrying out market analysis and formulating business plan for the center. He/she is responsible for management of overall operation of the center and ensures health and safety at the workplace. He/she ensures compliance of applicable statutory laws, policies and procedures relating to the center.",https://www.skillindiadigital.gov.in/courses/detail/3bae6d10-a7de-43be-bfba-3dd10668a9ac,null,null,null,null,null,null,null,null,null,,null
73,Green Jobs, Agri-residue Aggregator,Free,10:33 hours,16,Ability to read and write,3 years of relevant experience,Hindi,"Agri-residue Aggregator collects agri-residues from farmers (suppliers) through nodal collection points, assesses quality and quantity of agri-residues and accordingly decides price. He/she appropriately sorts, densifies and stores the bales. He/she also perform sales of the bales based on end requirements",https://www.skillindiadigital.gov.in/courses/detail/0ad859d1-e502-4c01-aa0c-3b575ab9c80d,null,null,null,null,null,null,null,null,null,,null
74,Handicrafts and Carpet,Product Maker (Fashion Jewellery) - Hindi,Free,01:26 hours,18,10th pass with 2 years experience or 12th pass,NA,Hindi,"The individual at work is responsible to assemble variety of materials to the jewel for final finish. The person has to ensure the final finished jewel is defect free, meets specified requirement and customer satisfaction level.",https://www.skillindiadigital.gov.in/courses/detail/e788468d-8f3e-4950-8bde-d699656ab0a6,null,null,null,null,null,null,null,null,null,,null
75,Handicrafts and Carpet,Bamboo Work Artisan,Free,00:55 hours,16,10th pass with 2 years experience or 12th pass,NA,English,Bamboo Work Artisan prepares bamboo by performing various steps and using various methods to make a final prepared bamboo product.,https://www.skillindiadigital.gov.in/courses/detail/9c513665-40a3-4b81-8db7-59080cdf356e,null,null,null,null,null,null,null,null,null,,null
76,Handicrafts and Carpet,Paper Mache Products Artisan,Free,02:51 hours,18,10th pass with 2 years experience or 12th pass,Na,Hindi,"The Sakhta maker is responsible for making sakhta out of paper pulp passing through various stages of preparation beginning from paper cutting, paper soaking etc.",https://www.skillindiadigital.gov.in/courses/detail/f2869981-e2a7-4120-81b1-9c43c84af401,null,null,null,null,null,null,null,null,null,,null
77,Healthcare,OET NURSES,"Paid, Rs.1180",60:00 hours,20+,GNM/BSc Nursing/Msc Nursing,NA,English,"OET (Occupational English Test) is designed to meet the specific English language needs of the healthcare sector. It assesses the language proficiency of healthcare professionals who wish to practise in an English-speaking environment. All four language skills are assessed, with Writing and Speaking tests available in 12 different areas of healthcare. All candidates sit the same Reading and Listening tests.OET is accepted as proof of English proficiency in the UK, Ireland, Australia, New Zealand, Dubai, Namibia and Singapore for registration in 12 healthcare professions.",https://www.skillindiadigital.gov.in/courses/detail/c0f99fc7-0356-4458-9757-c3e134f30dcc,null,null,null,null,null,null,null,null,null,,null
78,Healthcare,Vision Technician - Hindi,Free,04:43 hours,Any,Any,NA,Hindi,"Eye care assistants are specialized medical assistants who work in optometrist offices, eyecare clinics, and other healthcare facilities that offer vision care services. They are a vital part of the eye doctor's team, helping the office or facility to run smoothly by performing administrative and clinical tasks. Optometrists prefer assistants who have completed a medical assistant certificate or associate's degree program and who have experience in either the vision care or medical care field.",https://www.skillindiadigital.gov.in/courses/detail/b75b53ca-11b9-42d3-a423-85a485d16c59,null,null,null,null,null,null,null,null,null,,null
79,Healthcare,Vision Technician,Free,04:43 hours,Any,Any,NA,English,"Eye care assistants are specialized medical assistants who work in optometrist offices, eyecare clinics, and other healthcare facilities that offer vision care services. They are a vital part of the eye doctor's team, helping the office or facility to run smoothly by performing administrative and clinical tasks. Optometrists prefer assistants who have completed a medical assistant certificate or associate's degree program and who have experience in either the vision care or medical care field.",https://www.skillindiadigital.gov.in/courses/detail/63ad31bb-41f3-48f1-98ac-f9eeec92e3c7,null,null,null,null,null,null,null,null,null,,null
80,Healthcare,General Duty Assistant (Hindi),Free,7:43 hours,Any,Any,NA,Hindi,"Individuals in this job provide patient care and assist in preparing patients unit. Some of the key responsibilities of a General Duty Assistant are to provide personal care, comfort and assistance in fulfilling the nutritional and elimination needs of the patient while ensuring their safety",https://www.skillindiadigital.gov.in/courses/detail/4468717e-c40f-4180-bd2c-4f62587500cf,null,null,null,null,null,null,null,null,null,,null
81,Water Management and Plumbing,Jal Vitaran Sanchaalak,Free,40:00 hours,18,12th grade Pass OR 10th Class/I.T.I with 2 Years of experience Relevant OR 8th grade pass with 2 years of NTC with 2 Years of experience Relevant,NA,Hindi,"Jal Vitaran Sanchaalak (Water Distribution Operator) would act as a one-stop solution provider who gives various services to communities under the Jal Jeevan Mission scheme such as plumbing installation, maintenance, repair and operations of various plumbing-related structures and systems. The person will also mobilize community members and organize for required resources across a specified geographic area with support from the Village Water & Sanitation Committee, Gram Panchayat and government bodies.",https://www.skillindiadigital.gov.in/courses/detail/4051e49b-3b5c-4f83-bbed-8ea484f3a97b,null,null,null,null,null,null,null,null,null,,null
82,IT-ITeS,Design cloud solutions for the public sector,Free,00:15 hours,Any,Any,Any,English,Introduction to the stakes and options for implementing Azure to safeguard public sector data.,https://www.skillindiadigital.gov.in/courses/detail/5826764b-91a0-448b-898d-8d64570adcf6,null,null,null,null,null,null,null,null,null,,null
83,IT-ITeS,Deploy device data protection,Free,00:48 hours,Any,Any,Any,English,This module describes how you can use Intune to create and manage WIP policies that manage this protection. The module also covers implementing BitLocker and Encrypting File System.,https://www.skillindiadigital.gov.in/courses/detail/4b3b4c3b-4244-4eaa-a91b-5c28ba721561,null,null,null,null,null,null,null,null,null,,null
84,IT-ITeS,Web development using Visual Studio Code,Free,00:44 hours,18+,"12th Pass, ITI, Diploma","developer,windows,vs-code",English,"Practice the beginning steps of web development by creating a simple web project in Visual Studio Code that contains a web page, a CSS file, and a JavaScript file. Learn how to use developer tools in your browser to check your work.",https://www.skillindiadigital.gov.in/courses/detail/51f77354-5f6e-4901-aa0f-854c3b546133,null,null,null,null,null,null,null,null,null,,null
85,IT-ITeS,Using GitHub Copilot with Python,Free,00:22 hours,18+,"12th Pass, ITI, Diploma","devops-engineer,administrator,developer,github",English,Use GitHub Copilot with Visual Studio Code to make changes and updates to a Python application.,https://www.skillindiadigital.gov.in/courses/detail/64b3df85-2def-441e-a331-cdb8d04401cd,null,null,null,null,null,null,null,null,null,,null
86,IT-ITeS,Use CSS Styles in a Webpage,Free,00:35 hours,18+,"12th Pass, ITI, Diploma","administrator,developer,k-12-educator,industry-solutions",English,Demonstrates how to apply formatting to basic HTML by using styles and Cascading Style Sheets.,https://www.skillindiadigital.gov.in/courses/detail/a12b790c-aa17-47cc-a3aa-ac950e915120,null,null,null,null,null,null,null,null,null,,null
87,IT-ITeS,Use Apache Spark in Azure Databricks,Free,01:14 hours,18+,"12th Pass, ITI, Diploma","data-engineer,azure-databricks",English,"Azure Databricks is built on Apache Spark and enables data engineers and analysts to run Spark jobs to transform, analyze and visualize data at scale.",https://www.skillindiadigital.gov.in/courses/detail/4b4bdeb9-ccb6-4f56-bc97-53377f8fa7fd,null,null,null,null,null,null,null,null,null,,null
88,IT-ITeS,Troubleshoot Name Resolution Issues in Microsoft Azure,Free,00:34 hours,18+,"12th Pass, ITI, Diploma","network-engineer,support-engineer,azure-dns",English,"Name resolution is the process of matching the name of a computer to its network address. This module looks at name resolution issues for public networks, private networks, and internal networks that connect to Azure. AZ720 AZ-720 az-720 networking",https://www.skillindiadigital.gov.in/courses/detail/1ece0088-3706-4bb9-b84b-65ea442932a2,null,null,null,null,null,null,null,null,null,,null
89,IT-ITeS,Troubleshoot Inbound Network Connectivity for Azure Load Balancer,Free,01:38 hours,18+,"12th Pass, ITI, Diploma","administrator,azure,azure-monitor,azure-load-balancer",English,Learn how to troubleshoot inbound network connectivity for Azure Load Balancer.,https://www.skillindiadigital.gov.in/courses/detail/14c58d5f-4ebd-4aa0-910b-b59a289ac192,null,null,null,null,null,null,null,null,null,,null
90,IT-ITeS,Tips and Tricks for Teaching AZ-500 Microsoft Azure Security Technologies,Free,00:30 hours,18+,"12th Pass, ITI, Diploma","advanced,higher-ed-educator,azure",English,"Learn tips and tricks about preparing for your first teaching session, which labs to use, when and how to introduce technical topics, as well as other resources and materials.",https://www.skillindiadigital.gov.in/courses/detail/f9436275-4658-48aa-8eb5-40ef2a819127,null,null,null,null,null,null,null,null,null,,null
91,IT-ITeS,Testing Bicep code using GitHub Actions,Free,00:42 hours,18+,"12th Pass, ITI, Diploma","devops-engineer,developer,administrator,azure-resource-manager,github",English,"Build a deployment workflow for Bicep infrastructure as code templates. Lint, validate, preview, and test your Bicep code by using GitHub and GitHub Actions.",https://www.skillindiadigital.gov.in/courses/detail/34c19999-edd6-44cc-b947-4bdee46eaff7,null,null,null,null,null,null,null,null,null,,null
92,IT-ITeS,Startup errors in Application by using the Kudu console,Free,00:37 hours,18+,"12th Pass, ITI, Diploma","administrator,developer",English,This module explains how to use the Kudu console and the Azure portal to examine the application event log to identify the event that caused an error.,https://www.skillindiadigital.gov.in/courses/detail/eb80c96c-166c-4d67-a42c-8d9ddd232a35,null,null,null,null,null,null,null,null,null,,null
93,IT-ITeS,Services on the Microsoft Intelligent Data Platform,Free,00:58 hours,18+,"12th Pass, ITI, Diploma","data-engineer,azure,azure-storage",English,"Explore the broad array of Azure technologies that analyze text or images and relational, nonrelational, or streaming data.",https://www.skillindiadigital.gov.in/courses/detail/162000bc-01ec-417f-a65a-631942f4d98e,null,null,null,null,null,null,null,null,null,,null
94,IT-ITeS,Query logs in Microsoft Sentinel,Free,00:18 hours,18+,"12th Pass, ITI, Diploma","security-operations-analyst,azure,microsoft-sentinel,azure-log-analytics",English,"As a Security Operations Analyst, you must understand the tables, fields, and data ingested in your workspace. Learn how to query the most used data tables in Microsoft Sentinel.",https://www.skillindiadigital.gov.in/courses/detail/9bd7e2be-e8c4-4d31-a3f0-e040df33093c,null,null,null,null,null,null,null,null,null,,null
95,IT-ITeS,Python Error Handling,Free,00:31 hours,18+,"12th Pass, ITI, Diploma",developer,English,"Use effective techniques for error handling in Python. Catching exceptions, raising new ones, and updating error messages are essential for robust Python projects.",https://www.skillindiadigital.gov.in/courses/detail/aa8021dd-35d8-403c-b084-278ea62b79e4,null,null,null,null,null,null,null,null,null,,null
96,IT-ITeS,"Publish an Angular, React, Svelte, or Vue JavaScript app with Azure Static Web Apps",Free,00:18 hours,18+,"12th Pass, ITI, Diploma","developer,azure,azure-app-service,static-web-apps",English,"Publish an Angular, React, Svelte, or Vue JavaScript app with Azure Static Web Apps. Use Visual Studio Code to create and run the web app locally.",https://www.skillindiadigital.gov.in/courses/detail/de596129-124a-430f-b2ff-557c14ed02bd,null,null,null,null,null,null,null,null,null,,null
97,IT-ITeS,Provision and Test Environments,Free,01:58 hours,18+,"12th Pass, ITI, Diploma","advanced,administrator,developer,devops-engineer,azure,azure-artifacts,azure-boards",English,"This module details target environment provisioning, service connections creation process, and test infrastructure setup. Learn how to configure functional test automation and run availability tests.",https://www.skillindiadigital.gov.in/courses/detail/7cbda92f-bcba-441c-b314-30781adbb0fe,null,null,null,null,null,null,null,null,null,,null
98,IT-ITeS,Migrate Java Web Applications to Azure App Service,Free,00:32 hours,18+,"12th Pass, ITI, Diploma","developer,administrator,azure,azure-migrate,azure-app-service",English,Microsoft Learn module to learn Azure Migrate App Containerization with a hands-on lab using Azure App Service for Java web applications,https://www.skillindiadigital.gov.in/courses/detail/ad9fefb2-7c1f-442b-921e-2e733388a55d,null,null,null,null,null,null,null,null,null,,null
99,IT-ITeS,Microsoft Learn Documentation,Free,00:33 hours,18+,"12th Pass, ITI, Diploma","technical-writer,developer,github,vs-code",English,"Become a contributor to Microsoft Learn documentation by making edits with a web editor in GitHub. Make your changes, then create, validate, and submit pull requests to get your changes published.",https://www.skillindiadigital.gov.in/courses/detail/04a80243-3c01-4312-bec0-3542e1a5e217,null,null,null,null,null,null,null,null,null,,null
100,IT-ITeS,Messaging in Azure to Connect Services,Free,00:45 hours,18+,"12th Pass, ITI, Diploma","developer,solution-architect,azure,azure-service-bus,azure-event-grid",English,"Learn how Azure storage queues, Event Hubs, Event Grid, and service bus can improve your communication between devices.",https://www.skillindiadigital.gov.in/courses/detail/2d9f95a6-19ae-4ebe-9980-69a90e015d60,null,null,null,null,null,null,null,null,null,,null
101,IT-ITeS,Mathematical Operations in Python,Free,00:27 hours,18+,"12th Pass, ITI, Diploma",developer,English,Almost every application a developer creates involves some level of math. This module explores the core functionality in Python and arithmetic operators.,https://www.skillindiadigital.gov.in/courses/detail/aad5fe47-dbe3-471d-bf65-e0b6b0d7c476,null,null,null,null,null,null,null,null,null,,null
102,IT-ITeS,Introduction to Windows 10 development,Free,01:20 hours,18+,"12th Pass, ITI, Diploma","developer,windows",English,"Get acquainted with Windows 10 development, install essential tools, and find out about the Windows Insider Program.",https://www.skillindiadigital.gov.in/courses/detail/e5e9eb22-e58e-422e-9236-8f0b32bf642c,null,null,null,null,null,null,null,null,null,,null
103,IT-ITeS,Introduction to Azure Synapse Analytics,Free,01:22 hours,18+,"12th Pass, ITI, Diploma","data-analyst,data-engineer,azure-synapse-analytics",English,Learn about the features and capabilities of Azure Synapse Analytics - a cloud-based platform for big data processing and analysis.,https://www.skillindiadigital.gov.in/courses/detail/2336e0fb-4216-4c3c-a9cd-62e4b2b4ec74,null,null,null,null,null,null,null,null,null,,null
104,IT-ITeS,Integrate Azure Health Bot with a Database,Free,00:40 hours,18+,"12th Pass, ITI, Diploma",developer,English,This module explains how to connect an Azure health bot to a database.,https://www.skillindiadigital.gov.in/courses/detail/94c80a98-eef1-459b-8550-60980fe9db0d,null,null,null,null,null,null,null,null,null,,null
105,IT-ITeS,Implement Azure Synapse Link for SQL,Free,00:55 hours,18+,"12th Pass, ITI, Diploma","data-analyst,data-engineer,azure-sql-database,azure-synapse-analytics,sql-server",English,Azure Synapse Link for SQL enables low-latency synchronization of operational data in a relational database to Azure Synapse Analytics.,https://www.skillindiadigital.gov.in/courses/detail/6321c872-96f8-447f-975d-ca1c87b0cb52,null,null,null,null,null,null,null,null,null,,null
106,IT-ITeS,Host web sites by using GitHub Pages,Free,01:12 hours,18+,"12th Pass, ITI, Diploma","devops-engineer,administrator,developer,github,azure",English,"Learn how to host your personal, organization, and project sites for free with GitHub Pages.",https://www.skillindiadigital.gov.in/courses/detail/51130cac-f4eb-4182-8c0c-387dcc8b8cdb,null,null,null,null,null,null,null,null,null,,null
107,IT-ITeS,Guided Project - Calculate Final GPA,Free,00:54 hours,18+,"12th Pass, ITI, Diploma","developer,higher-ed-educator,k-12-educator,dotnet",English,Gain experience developing an application that will calculate and display results based on given data.,https://www.skillindiadigital.gov.in/courses/detail/a8ba9b32-b0bc-436b-b08d-7908ddd6c5d5,null,null,null,null,null,null,null,null,null,,null
108,IT-ITeS,Get started with React,Free,00:31 hours,18+,"12th Pass, ITI, Diploma","developer,static-web-apps",English,Learn what you need to know to start building apps with React and JavaScript.,https://www.skillindiadigital.gov.in/courses/detail/0c75f585-9187-40a0-a37e-662e6b0d458f,null,null,null,null,null,null,null,null,null,,null
109,IT-ITeS,Get Started with Django,Free,00:32 hours,18+,"12th Pass, ITI, Diploma","developer,azure,azure-app-service",English,"Django is one of the most popular Python web frameworks. Explore its benefits, learn how to install it, and create your first project.",https://www.skillindiadigital.gov.in/courses/detail/ab022100-f455-4d01-80c7-7a0a03413352,null,null,null,null,null,null,null,null,null,,null
110,IT-ITeS,Fundamentals of Azure OpenAI Service,Free,01:03 hours,18+,"12th Pass, ITI, Diploma","ai-engineer,data-scientist,azure-bot-service,ai-services,azure-machine-learning",English,"With Azure OpenAI, you can build solutions against OpenAI artificial intelligence models within Azure.",https://www.skillindiadigital.gov.in/courses/detail/34bb5958-7038-4938-bd8a-46d0c65e03fc,null,null,null,null,null,null,null,null,null,,null
111,IT-ITeS,Functional Tests in Azure Pipelines,Free,01:03 hours,18+,"12th Pass, ITI, Diploma","devops-engineer,administrator,developer,azure,azure-devops",English,"Run Selenium UI tests, a form of functional testing, in Azure Pipelines.",https://www.skillindiadigital.gov.in/courses/detail/3522874d-5ec2-42ea-a933-a126b878b8e7,null,null,null,null,null,null,null,null,null,,null
112,IT-ITeS,Externalize the configuration of an ASP.NET app by using an Azure key vault,Free,00:24 hours,18+,"12th Pass, ITI, Diploma","developer,azure,aspnet,azure-key-vault",English,Learn how to use ConfigurationBuilder to dynamically configure an ASP.NET web app to retrieve secrets from an Azure key vault.,https://www.skillindiadigital.gov.in/courses/detail/964d4c14-0773-42d7-9056-ca9370224bd5,null,null,null,null,null,null,null,null,null,,null
113,IT-ITeS,Explore Brain Design Patterns,Free,00:19 hours,18+,"12th Pass, ITI, Diploma","business-user,azure,bonsai",English,Learn AI brain design patterns and evaluate when to use them.,https://www.skillindiadigital.gov.in/courses/detail/8d47e4dc-f355-4b75-979a-eb41ce7c79f3,null,null,null,null,null,null,null,null,null,,null
114,IT-ITeS,Deploy a model to a managed online endpoint,Free,00:45 hours,18+,"12th Pass, ITI, Diploma","data-scientist,azure-machine-learning",English,Learn how to deploy models to a managed online endpoint for real-time inferencing.,https://www.skillindiadigital.gov.in/courses/detail/2b50a264-b4a5-46a9-bc9e-1b66cc273caf,null,null,null,null,null,null,null,null,null,,null
115,IT-ITeS,Deploy Spring Microservices to Azure,Free,00:38 hours,18+,"12th Pass, ITI, Diploma","developer,administrator,azure,azure-spring-apps",English,Learn how to deploy Spring Boot microservices to Azure Spring Apps (ASA).,https://www.skillindiadigital.gov.in/courses/detail/b9d4afaf-1496-4083-a634-292dd0b60222,null,null,null,null,null,null,null,null,null,,null
116,IT-ITeS,Data warehouse developer features of Azure Synapse Analytics,Free,00:57 hours,18+,"12th Pass, ITI, Diploma","data-engineer,azure-synapse-analytics",English,Understand data warehouse developer features of Azure Synapse Analytics,https://www.skillindiadigital.gov.in/courses/detail/134d9081-3755-4ac3-88b0-4966e3e2a696,null,null,null,null,null,null,null,null,null,,null
117,IT-ITeS,Data Movement of Azure Cosmos DB for NoSQL,Free,00:52 hours,18+,"12th Pass, ITI, Diploma","developer,azure-cosmos-db",English,Migrate data into and out of Azure Cosmos DB for NoSQL using Azure services and open-source solutions.,https://www.skillindiadigital.gov.in/courses/detail/40454810-bd46-4ff3-ac05-66a7db4f5de8,null,null,null,null,null,null,null,null,null,,null
118,IT-ITeS,Customize Windows Server IaaS Virtual Machine Images,Free,00:50 hours,18+,"12th Pass, ITI, Diploma","administrator,solution-architect,technology-manager,azure,azure-cloud-shell,azure-portal",English,You'll be able to create new VMs from generalized images and use Azure Image Builder templates to create and manage images in Azure.,https://www.skillindiadigital.gov.in/courses/detail/c22d6c96-59d6-4f5c-8328-0cde570f8e4b,null,null,null,null,null,null,null,null,null,,null
119,IT-ITeS,Cultivate a culture of belongingness in Tech,Free,00:40 hours,18+,"12th Pass, ITI, Diploma",developer,English,"Explore what belonging is, why it matters, and how to recognize it. Learn about historical and current challenges to belonging in tech, and understand what contributes to a climate of belonging, including strategies to build inclusive environments.",https://www.skillindiadigital.gov.in/courses/detail/204a9615-6ecf-40ca-92b9-385b07809892,null,null,null,null,null,null,null,null,null,,null
120,IT-ITeS,Creating Adaptive Cards,Free,01:20 hours,18+,"12th Pass, ITI, Diploma","developer,windows",English,"Find out about the capabilities of Adaptive Cards, try out the range of user input and action, and then extend the app with Adaptive Cards APIs.",https://www.skillindiadigital.gov.in/courses/detail/9b3890aa-c36d-4516-b3c0-9954de8975a8,null,null,null,null,null,null,null,null,null,,null
121,IT-ITeS,Create Azure users and groups in Microsoft Entra ID,Free,00:41 hours,18+,"12th Pass, ITI, Diploma","administrator,azure,entra-id",English,Learn how to create users and groups in Microsoft Entra ID.,https://www.skillindiadigital.gov.in/courses/detail/a8206444-03a6-47a7-9f35-f2fa534380c0,null,null,null,null,null,null,null,null,null,,null
122,IT-ITeS,Container Images in Azure Container Registry,Free,00:31 hours,18+,"12th Pass, ITI, Diploma","developer,azure,azure-container-registry",English,"Learn how to use Azure Container Registry to store your container images, and automate builds and deployments.",https://www.skillindiadigital.gov.in/courses/detail/556b52b1-ede4-4172-beac-8486f46291cd,null,null,null,null,null,null,null,null,null,,null
123,IT-ITeS,Connecting Azure SQL server using an Azure Private Endpoint using the Azure portal,Free,00:25 hours,18+,"12th Pass, ITI, Diploma","administrator,security-engineer,azure,azure-portal,azure-private-link",English,"Learn how to securely connect an Azure SQL server using an Azure Private Endpoint via the Azure portal, ensuring private and safe communication with your SQL server.",https://www.skillindiadigital.gov.in/courses/detail/f549f437-bde4-4f69-b063-125fcb88a060,null,null,null,null,null,null,null,null,null,,null
124,IT-ITeS,Connect non-Azure resources to Microsoft Defender for Cloud,Free,00:44 hours,18+,"12th Pass, ITI, Diploma","security-operations-analyst,azure,azure-arc,defender-for-cloud",English,Learn how you can add Microsoft Defender for Cloud capabilities to your hybrid environment.,https://www.skillindiadigital.gov.in/courses/detail/646ec7be-7896-4120-a621-a1547d83ece7,null,null,null,null,null,null,null,null,null,,null
125,IT-ITeS,Connect data to Microsoft Sentinel using data connectors,Free,00:22 hours,18+,"12th Pass, ITI, Diploma","security-operations-analyst,azure,microsoft-sentinel,azure-log-analytics",English,The primary approach to connect log data is using the Microsoft Sentinel provided data connectors. This module provides an overview of the available data connectors.,https://www.skillindiadigital.gov.in/courses/detail/dd00766c-e08f-464e-9da6-b82b3d14b464,null,null,null,null,null,null,null,null,null,,null
126,IT-ITeS,Configure and Manage Secrets in Azure Key Vault,Free,00:29 hours,18+,"12th Pass, ITI, Diploma","administrator,security-engineer,azure",English,"Storing and handling secrets, encryption keys, and certificates directly is risky, and every usage introduces the possibility of unintentional data exposure. Azure Key Vault provides a secure storage area for managing all your app secrets so you can properly encrypt your data in transit or while it's being stored.",https://www.skillindiadigital.gov.in/courses/detail/e507ec0b-4cdb-442a-a3b2-32f41be208b3,null,null,null,null,null,null,null,null,null,,null
127,IT-ITeS,Configure Databases for Optimal Performance,Free,00:46 hours,18+,"12th Pass, ITI, Diploma","data-analyst,data-engineer,database-administrator,azure,azure-sql-database,sql-server",English,"Implement tasks for both IaaS and PaaS to maintain indexes, and statistics. Explore the automatic tuning features of Azure SQL Database. Control database-level configuration options. Explore Intelligent Query Processing.",https://www.skillindiadigital.gov.in/courses/detail/b1ac0f53-576e-4e63-b9c5-fa47d709a8a2,null,null,null,null,null,null,null,null,null,,null
128,IT-ITeS,Compliance Management Capabilities in Microsoft Purview,Free,00:25 hours,18+,"12th Pass, ITI, Diploma","business-user,m365,microsoft-purview",English,"Explore the Microsoft Purview compliance portal, the portal for organizations to manage their compliance needs. Learn about the Compliance Manager and compliance score, which can help organizations manage, simplify, and improve compliance across their organization.",https://www.skillindiadigital.gov.in/courses/detail/5497964f-1624-4565-8a96-fb92e4bfd96f,null,null,null,null,null,null,null,null,null,,null
129,IT-ITeS,Cloud Storage for IoT,Free,00:31 hours,18+,"12th Pass, ITI, Diploma","developer,azure,azure-iot-hub,azure-storage",English,"This module introduces you to the Azure data storage options that are often used in Azure IoT solutions, and the hot and cold storage paths can be implemented in support of various business requirements.",https://www.skillindiadigital.gov.in/courses/detail/8edc7b91-392a-4546-aaa2-3900313b9cd1,null,null,null,null,null,null,null,null,null,,null
130,IT-ITeS,Basic Cloud-Native Service using PostgreSQL and Node.js,Free,01:40 hours,18+,"12th Pass, ITI, Diploma","administrator,developer,solution-architect,azure,azure-database-postgresql",English,"Build a basic service consisting of an Express.js-based web service with Microsoft Azure Database for PostgreSQL providing its persistent data store, and managed by a front-end Next.js management web app.",https://www.skillindiadigital.gov.in/courses/detail/5fbb33ca-85da-42e9-819d-abd257e1a54c,null,null,null,null,null,null,null,null,null,,null
131,IT-ITeS,Authenticate and Authorize Multi-tenant Apps using Microsoft Entra ID,Free,01:43 hours,18+,"12th Pass, ITI, Diploma","administrator,developer,solution-architect,azure,entra-id",English,Microsoft Entra ID enables you to improve the functionality of cloud-native apps in multitenant scenarios.,https://www.skillindiadigital.gov.in/courses/detail/5b2ad5ec-0026-453f-86cf-5213e0cbf500,null,null,null,null,null,null,null,null,null,,null
132,IT-ITeS,Analyze and Resolve compliance issues using Microsoft Intune,Free,00:26 hours,18+,"12th Pass, ITI, Diploma","administrator,mem,m365",English,"In this module, you'll learn about analyzing and resolving compliance issues using Microsoft Intune.",https://www.skillindiadigital.gov.in/courses/detail/8dfed140-8884-440f-bc45-e362321f85ca,null,null,null,null,null,null,null,null,null,,null
133,IT-ITeS,AI strategy to Create Business Value in Healthcare,Free,00:28 hours,18+,"12th Pass, ITI, Diploma","business-owner,business-user,azure-openai",English,Discover AI use cases and scenarios for healthcare. Get familiar with Microsoft AI tools and services for healthcare. Learn from real success stories.,https://www.skillindiadigital.gov.in/courses/detail/877e067b-e62c-47c5-a987-a695c4cc1de5,null,null,null,null,null,null,null,null,null,,null
134,IT-ITeS,Fundamentals of Deep Learning of Neural Networks,Free,028:00 hours,Any,No Formal Education required,NA,English,"In this beginner-friendly course, you will learn about the most sophisticated and cutting-edge models in machine learning - Artificial Neural Networks or ANNs. You will be introduced to the basics of Neural Networks and various concepts related to Deep Neural Network.",https://www.skillindiadigital.gov.in/courses/detail/53575c01-b183-4ff1-af72-74b53adae014,null,null,null,null,null,null,null,null,null,,null
135,IT-ITeS,Certification Course for Digital Skills and Literacy,Free,011:30 hours,Any,10th Pass,NA,English,The Course for Digital Skills and Literacy focuses on allowing participants to gain competency with basic computer skills and understand the functioning of foundational softwares. The course begins with breakdown of fundamentals of the computer and provides student with an understanding the Information Technology industry at large. It provides a look into important tools and gives an orientation into complex computer skills as well.,https://www.skillindiadigital.gov.in/courses/detail/5d7f04b7-25eb-4bbd-b9b0-e1d30bba887c,null,null,null,null,null,null,null,null,null,,null
136,IT-ITeS,Cybersecurity,Free,010:00 hours,Any,No Formal Education required,NA,English,"This course on Cybersecurity, designed by Tech Mahindra Foundation will help you understand the cyber threats in India, explaining how these cybercrimes are affecting us financially and psychologically. Whether you're a student, working professional, or just interested in staying safe online, this course is your guide to learn how to protect your personal information and secure your online transactions. So, sign up for this course and join us in this exciting journey!",https://www.skillindiadigital.gov.in/courses/detail/9390e20a-9cac-48f7-9fb4-35eddca4aeae,null,null,null,null,null,null,null,null,null,,null
